gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3710573524	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep6265	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros cauliflora		SPECIES	Diospyros cauliflora Blume	Diospyros cauliflora	Blume	ID	E. Java, res. Besuki, Mt Raung, S. slope, above village Gunungsari.		PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	-8.25	114.0											4069752	4069752	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:55.444Z		
3710573523	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep10604	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Phyllanthus	Phyllanthus emblica		SPECIES	Phyllanthus emblica L.	Phyllanthus emblica	L.	IN	West Bengal - Calcutta/State of West Bengal		PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	23.11	87.83											5381660	5381660	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:55.443Z		
3710573522	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep6272	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros cauliflora		SPECIES	Diospyros cauliflora Blume	Diospyros cauliflora	Blume	ID	Sumatra, Jambi Province, Berbak Reserve, Air Hitam Laut River, just above sea level, fresh water swamp forest.		PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	-1.33	104.33											4069752	4069752	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:55.436Z		
3710573521	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:OKHansen15	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Tectona	Tectona grandis		SPECIES	Tectona grandis L.f.	Tectona grandis	L.f.	MM	Lweyaung	Shan	PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	23.878056	96.730833							2015			2015	2925649	2925649	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0		O.K. Hansen etal			2025-01-31T18:21:55.435Z		COORDINATE_ROUNDED
3710573520	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep6270	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros cauliflora		SPECIES	Diospyros cauliflora Blume	Diospyros cauliflora	Blume	ID	N.Moluccasm, Halmahera, Central part, Akelamo Oba. Indonesia.		PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	0.57	127.6											4069752	4069752	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:55.435Z		
3710573519	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Vivi15	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros cauliflora		SPECIES	Diospyros cauliflora Blume	Diospyros cauliflora	Blume	ID	Tulobolo-Pinogu Resort, Boganinani Wartabone national park in Poduwoma village	Gorontalo	PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	0.511111	123.260833							2012-08		8	2012	4069752	4069752	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:55.435Z		COORDINATE_ROUNDED
3710573518	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep10609	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Phyllanthus	Phyllanthus emblica		SPECIES	Phyllanthus emblica L.	Phyllanthus emblica	L.	LA	Roadside verges and surrounding forests along road from Nakai to Nakai N		PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	17.72	105.21											5381660	5381660	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:55.446Z		
3710573517	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep6266	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ebenaceae	Diospyros	Diospyros cauliflora		SPECIES	Diospyros cauliflora Blume	Diospyros cauliflora	Blume	ID	Archipel.Ind. N. Midden Ceram bij Soleman.		PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	-2.96	129.11											4069752	4069752	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:55.446Z		
3710573516	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep11936	Plantae	Tracheophyta	Pinopsida	Pinales	Podocarpaceae	Podocarpus	Podocarpus neriifolius		SPECIES	Podocarpus neriifolius D.Don	Podocarpus neriifolius	D.Don	PG	3 miles NE of Sawette Sawmill near Salamaua		PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	-7.01	145.09											5286088	5286088	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:55.446Z		CONTINENT_COORDINATE_MISMATCH;CONTINENT_COUNTRY_MISMATCH
3710573515	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Pep10605	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Phyllanthus	Phyllanthus emblica		SPECIES	Phyllanthus emblica L.	Phyllanthus emblica	L.	IN	Pondicherry - Pondichéry/Union Territory of Puducherry		PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	11.92	79.76											5381660	5381660	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:55.446Z		
